,Unnamed: 0,SMILES,CAS,Name,Exposure (ng/day),Min Exposure (ng/day),Max Exposure (ng/day),ACE2,Pred_label
126,142,CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC,78-42-2,Tris(2-ethylhexyl) phosphate,0.018,0.00603,0.0342,0,0.40495953
127,143,CCCCC(CC)COC(=O)c1c(Br)c(Br)c(Br)c(Br)c1C(=O)OCC(CC)CCCC,26040-51-7,Bis(2-ethylhexyl)-tetrabromophthalate,0.000678,0.000227,0.00129,0,0.89141935
128,144,CCCCC(CC)COC(=O)c1cc(Br)c(Br)c(Br)c1Br,183658-27-7,"2-Ethylhexyl-2,3,4,5-tetrabromobenzoate",0.0014,0.000468,0.00265,0,0.9320223
129,145,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,117-81-7,Bis(2-ethylhexyl) phthalate,16.3,5.47,31.0,0,0.9555531
130,146,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCc1ccccc1,18750-05-5,Benzyl 2-ethylhexyl phthalate,0.204,0.0683,0.387,0,0.88071835
131,147,CCCCC(CC)COC(=O)c1ccccc1C(=O)O,4376-20-9,MEHP,0.295,0.099,0.561,0,0.9802956
132,148,CCCCC(CC)COC(=O)COc1ccc(Cl)cc1Cl,25168-26-7,"2,4-D isooctyl ester",0.0139,0.00466,0.0264,0,0.9057405
133,149,CCCCCCc1ccc(O)cc1,2446-69-7,4-N-Hexylphenol,0.00281,0.000942,0.00533,0,0.9433345
134,150,CCCCCCCC[Sn](Cl)(Cl)CCCCCCCC,3542-36-7,Dioctyltin dichloride,0.0593,0.0199,0.113,0,0.95383066
135,151,CCCCCCCC[Sn](Cl)(Cl)Cl,3091-25-6,Monooctyltin trichloride,0.0507,0.017,0.0963,0,0.73856574
136,152,CCCCCCCC/C=C\CCCCCCCC(=O)O,112-80-1,Oleic acid,18.5,6.19,35.0,0,0.9415328
137,153,CCCCCCCCc1ccc(O)cc1,1806-26-4,4-N-Octylphenol,0.000318,0.000107,0.000603,0,0.9586346
138,154,CCCCCCCCCc1ccc(O)cc1,104-40-5,4-nonylphenol,0.0413,0.0138,0.0783,0,0.96265155
