canonical_smiles,label_ACE2,DataType
CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1,1.0,Tox
CO[C@H](CN(C)S(=O)(=O)c1ccc(C)cc1)[C@@H](C)CN(C(=O)Nc1ccccc1F)[C@H](C)CO,1.0,L1000
COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,1.0,L1000
CNC(C)C(=O)NC(C(=O)N1CCCC1C(=O)Nc1cccc2ncccc12)C(C)C,1.0,L1000
COc1cccc(N(C(=O)CCl)C(C(=O)NCCc2ccccc2)c2cccs2)c1,1.0,L1000
C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3CC[C@@]21CC,1.0,L1000
O=C(Nc1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1)c1ccc(F)cc1Cl,1.0,L1000
O=P1(N(CCCl)CCCl)NCCCO1,1.0,L1000
CCCN(CCC)c1nc(N2CCCC2)nc2ccccc12,1.0,L1000
CCOc1ccc(Cc2nccc3cc(OCC)c(OCC)cc23)cc1OCC,1.0,L1000
C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)S(=O)(=O)c2ccc(F)cc2)Oc2ccc(NC(=O)Nc3ccc(C(F)(F)F)cc3)cc2CC1=O,1.0,L1000
Cc1c(N=Cc2cc(Br)cc(Br)c2O)cccc1C(=O)O,1.0,L1000
C1COC(=NC(C2CC2)C2CC2)N1,1.0,L1000
O=C1c2ccccc2C(=O)N1CC1CCN(Cc2cccc(OCCO)c2)CC1,1.0,L1000
COc1ccc(N(C(=O)CCl)C(C(=O)NCCc2ccccc2)c2cccs2)cc1,1.0,L1000
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,1.0,L1000
OCc1c[nH]c2ccccc12,1.0,L1000
CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,1.0,L1000
N=c1[nH]c2ccc(OC(F)(F)F)cc2s1,1.0,L1000
CC(=O)Nc1ccc(S(=O)(=O)NCc2ccc(C(=O)NCCN(C)Cc3ccccc3)cc2)cc1,1.0,L1000
CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,1.0,L1000
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccccc2)OCCCC[C@@H](C)Oc2ccc(NC(=O)c3ccncc3)cc2C1=O,1.0,L1000
Cc1noc(C)c1S(=O)(=O)N(C)C[C@H]1OCc2ccccc2-c2c(n(C)c3ccccc23)C(=O)N([C@@H](C)CO)C[C@@H]1C,1.0,L1000
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc3c(c2)OCO3)Oc2c(NS(C)(=O)=O)cccc2C1=O,1.0,L1000
N=C(N)N=c1[nH]c(CSCCC(=N)NS(N)(=O)=O)cs1,1.0,L1000
CC(C)NC(=O)N(C)C[C@H]1OCCCC[C@@H](C)Oc2ccc(NC(=O)CCC(F)(F)F)cc2C(=O)N([C@@H](C)CO)C[C@H]1C,1.0,L1000
CC(C)(C)OC(=O)NCC(=O)NNC(=O)C(C(=O)OCc1ccccc1)c1ccccc1,1.0,L1000
O=Cc1c2[nH]c3ccccc3c2cc2[nH]c3ccccc3c12,1.0,L1000
